,fly,flyid,condition,trip_index,time,cumul_feeding,norm_cumul_feeding,duration,length,runturnsegs,previsit_duration,isloop,postvisit_duration,scaled_duration,scaled_length,scaled_duration_loop,scaled_length_loop,scaled_previsit_duration,scaled_postvisit_duration,genotype,triptype,triptype_vs,log10_duration,log10_scaled_duration,log10_length,log10_scaled_length
1947,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,40.0,2197.805209,843.0069350000012,0.9883175287282921,37.02409799999987,528.4047660123724,59.0,12.966773000000103,False,,1.8084683699124942,4.043868240436587,6.148204113366206,15.982806687797272,0.4078253925935906,,CantonSMH,long,long,1.5684844868179726,0.2573109173594062,2.7229667261331394,1.2036530466920194
1948,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,41.0,2238.289893,846.2173570000018,0.9920813368364846,4.544623999999658,3.069497795077041,3.0,3.4605860000001485,True,4.127687000000151,0.221985387926118,0.023490788588594106,0.7546781010168236,0.09284395797101422,0.10884086920114454,0.10514382527286487,CantonSMH,short,very short,0.6574979576393367,-0.6536756118192296,0.48706732574817213,-1.0322463536929478
1949,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,42.0,2246.962204,850.0948810000018,0.9966272364941957,0.5420199999998658,1.9074908311740728,0.0,4.127687000000151,True,452.5445520000003,0.02647535196832428,0.014597978836035343,0.09000758353453844,0.05769640846253666,0.12982224422981017,11.527585619663798,CantonSMH,short,very short,-0.2659846881307506,-1.5771582575893168,0.28046245908821515,-1.2388512203529047
1950,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,0.0,277.34706800000004,15.134844999999984,0.055880536726403585,2.0846890000000258,1.7653524366032798,3.0,277.34706800000004,True,38.02473599999996,0.026805913859969905,0.0025955524711975954,0.3386698217946295,0.027027906107163793,13.35643539059001,2.8732633727742383,CantonSMH,short,very short,0.31904127482147937,-1.5717693823361993,0.24683142133424416,-1.5681875984495741
1951,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,1.0,317.456493,48.78173399999986,0.18011082890935753,1.9179139999999961,0.9464570283239482,3.0,38.02473599999996,True,6.170681000000002,0.024661442294188526,0.001391551526943406,0.3115762555457508,0.014490450272482098,1.831189106452863,0.46627520838997893,CantonSMH,short,very short,0.28282912933995663,-1.607981527817722,-0.023899099381580698,-1.838918119165399
1952,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,2.0,325.545088,53.15958299999983,0.1962746252235681,0.5003250000000321,0.7009569731690135,0.0,6.170681000000002,True,19.01236899999998,0.006433414697343411,0.0010305990838932288,0.08128069874662686,0.010731794322286561,0.29716666084402726,1.4366317619501254,CantonSMH,short,very short,-0.30074779595568885,-2.1915584531133674,-0.1543086395066229,-1.9693276592904412
1953,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,3.0,345.05778200000003,68.1693449999998,0.25169333329065274,1.50097599999998,4.3424818228227196,3.0,19.01236899999998,True,19.387612000000047,0.01930025695050013,0.006384639799203486,0.2438422586956629,0.06648428299402155,0.9155946013842702,1.464986251190764,CantonSMH,short,very short,0.17637374810542616,-1.7144369090522524,0.6377380092114076,-1.1772810105724107
1954,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,4.0,365.94637000000006,86.22275699999977,0.31834973791870774,1.2091199999999844,0.7329625795869106,2.0,19.387612000000047,True,33.85535799999997,0.015547434925001281,0.0010776561072431896,0.19642855837408463,0.011221806688786135,0.9336654932866575,2.558212635942017,CantonSMH,short,very short,0.08246940487369465,-1.808341252283984,-0.13491819711024566,-1.949937216894064
1955,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,5.0,401.010848,117.40970899999962,0.4334975056441505,8.714003000000048,56.07511967838218,17.0,33.85535799999997,True,9.964814999999987,0.11204875825291817,0.08244581219938786,1.4156403392198293,0.8585215270280214,1.630400872859756,0.75297138041856,CantonSMH,short,short,0.940217705115829,-0.9505929520418497,1.7487702091494417,-0.06624881063437661
1956,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,6.0,419.68966600000005,125.45660899999956,0.4632080901254382,4.211072999999999,17.594939913919006,7.0,9.964814999999987,True,5.837130999999999,0.05414796168447362,0.02586938949256884,0.6841132382212205,0.2693821211528771,0.4798839543769109,0.44107116757852255,CantonSMH,short,short,0.6243927700886058,-1.2664178870690728,1.2453877880738549,-0.5696312317099634
1957,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,7.0,429.73787000000004,130.75172199999957,0.4827585880966403,81.80322000000001,774.3907070154983,123.0,5.837130999999999,False,,1.0518643638394698,1.1385668218941722,13.28940764767624,11.856079775065684,0.28110361371445985,,CantonSMH,long,long,1.9127703990345062,0.021959741876827414,2.8889601326318126,1.073941112847994
1958,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,8.0,511.624478,130.83510999999953,0.4830664714080676,6.712699999999984,1.7772389205947547,0.0,0.08338799999995672,True,15.009766000000013,0.08631506088813119,0.002613028864159267,1.0905170568659286,0.027209890603066514,0.004015785861309129,1.1341830455236341,CantonSMH,short,very short,0.8268972383876734,-1.0639134187700052,0.24974581549301159,-1.5652732042908066
1959,bias_video_cam_0_date_2019_06_13_time_19_38_52_v001,fly03,0-125M_24hr,9.0,533.346944,144.55236599999955,0.5337130176854481,0.9172629999999344,0.6903159437233626,2.0,15.009766000000013,True,4.419540999999981,0.011794600041030348,0.0010149538508501953,0.1490146955966963,0.010568877989673682,0.7228378913559482,0.33395380522231605,CantonSMH,short,very short,-0.037506124447208765,-1.9283167816048874,-0.1609520959132814,-1.9759711156970996
