genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly01,20.0,0.5588235294117647,34,0.1176470588235294,0.1176470588235294,after food
CantonSMH,0-125M_24hr,fly01,21.0,0.4545454545454545,44,-0.0909090909090909,0.0909090909090909,after food
CantonSMH,0-125M_24hr,fly01,22.0,0.5,24,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly01,23.0,0.3809523809523809,63,-0.2380952380952381,0.2380952380952381,after food
CantonSMH,0-125M_24hr,fly01,24.0,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly01,25.0,0.4791666666666667,48,-0.0416666666666666,0.0416666666666666,after food
CantonSMH,0-125M_24hr,fly01,26.0,0.4,15,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly01,27.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly01,28.0,0.4444444444444444,45,-0.1111111111111111,0.1111111111111111,after food
CantonSMH,0-125M_24hr,fly01,29.0,0.494949494949495,99,-0.01010101010101,0.01010101010101,after food
CantonSMH,0-125M_24hr,fly01,30.0,0.421875,64,-0.15625,0.15625,after food
CantonSMH,0-125M_24hr,fly01,31.0,0.3486842105263157,152,-0.3026315789473685,0.3026315789473685,after food
CantonSMH,0-125M_24hr,fly01,32.0,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly01,33.0,0.1818181818181818,11,-0.6363636363636364,0.6363636363636364,after food
CantonSMH,0-125M_24hr,fly01,34.0,0.3513513513513513,37,-0.2972972972972972,0.2972972972972972,after food
CantonSMH,0-125M_24hr,fly01,35.0,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly01,36.0,0.6363636363636364,11,0.2727272727272727,0.2727272727272727,after food
CantonSMH,0-125M_24hr,fly01,37.0,0.4449152542372881,236,-0.1101694915254237,0.1101694915254237,after food
CantonSMH,0-125M_24hr,fly01,38.0,0.4705882352941176,102,-0.0588235294117647,0.0588235294117647,after food
CantonSMH,0-125M_24hr,fly01,39.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly01,40.0,0.5365853658536586,41,0.0731707317073171,0.0731707317073171,after food
CantonSMH,0-125M_24hr,fly01,41.0,0.57421875,256,0.1484375,0.1484375,after food
CantonSMH,0-125M_24hr,fly02,5.0,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly02,6.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly02,7.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly02,8.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly02,9.0,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly02,10.0,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly02,11.0,0.5238095238095238,21,0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly02,12.0,0.8571428571428571,7,0.7142857142857142,0.7142857142857142,after food
CantonSMH,0-125M_24hr,fly02,14.0,0.8333333333333334,12,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly02,16.0,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly02,17.0,0.391304347826087,23,-0.217391304347826,0.217391304347826,after food
CantonSMH,0-125M_24hr,fly02,18.0,0.7857142857142857,14,0.5714285714285714,0.5714285714285714,after food
CantonSMH,0-125M_24hr,fly02,19.0,0.5166666666666667,60,0.0333333333333334,0.0333333333333334,after food
CantonSMH,0-125M_24hr,fly02,20.0,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly02,21.0,0.6363636363636364,11,0.2727272727272727,0.2727272727272727,after food
CantonSMH,0-125M_24hr,fly02,22.0,0.5367647058823529,136,0.0735294117647058,0.0735294117647058,after food
CantonSMH,0-125M_24hr,fly02,24.0,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly02,25.0,0.5136986301369864,146,0.0273972602739727,0.0273972602739727,after food
CantonSMH,0-125M_24hr,fly02,28.0,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly02,29.0,0.4285714285714285,7,-0.1428571428571429,0.1428571428571429,after food
CantonSMH,0-125M_24hr,fly02,30.0,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly02,31.0,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly02,32.0,0.7142857142857143,7,0.4285714285714286,0.4285714285714286,after food
CantonSMH,0-125M_24hr,fly02,33.0,0.4838709677419355,31,-0.032258064516129,0.032258064516129,after food
CantonSMH,0-125M_24hr,fly02,34.0,0.5909090909090909,22,0.1818181818181818,0.1818181818181818,after food
CantonSMH,0-125M_24hr,fly02,35.0,0.5789473684210527,19,0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly02,36.0,0.5666666666666667,60,0.1333333333333333,0.1333333333333333,after food
CantonSMH,0-125M_24hr,fly02,38.0,0.5,36,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly02,39.0,0.8181818181818182,11,0.6363636363636365,0.6363636363636365,after food
CantonSMH,0-125M_24hr,fly02,40.0,0.5420560747663551,214,0.0841121495327101,0.0841121495327101,after food
CantonSMH,0-125M_24hr,fly02,41.0,0.576271186440678,59,0.1525423728813559,0.1525423728813559,after food
CantonSMH,0-125M_24hr,fly02,42.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly02,44.0,0.5512820512820513,156,0.1025641025641026,0.1025641025641026,after food
CantonSMH,0-125M_24hr,fly03,1.0,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly03,2.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly03,4.0,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly03,5.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly03,6.0,0.3888888888888889,18,-0.2222222222222222,0.2222222222222222,after food
CantonSMH,0-125M_24hr,fly03,7.0,0.375,8,-0.25,0.25,after food
CantonSMH,0-125M_24hr,fly03,8.0,0.6111111111111112,126,0.2222222222222223,0.2222222222222223,after food
